                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0664,                 1.1657,                 1.1875,                0.73711,                0.84861,                0.79954,                0.58004,                 1.0888,                0.96667,                 1.1066,             0.00055531,             0.00055531,             0.00055531
                      2,                 0.9197,                 0.6774,                 1.1077,                0.84145,                0.91427,                0.94929,                0.75075,                0.82772,                0.61517,                 1.0527,             0.00074435,             0.00074435,             0.00074435
                      3,                0.81694,                0.57172,                 1.0586,                0.89775,                0.95479,                0.96805,                0.80297,                0.71618,                0.42972,                0.99145,             0.00056666,             0.00056666,             0.00056666
