                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1604,                 1.7472,                 1.2429,                 0.9343,                0.94681,                0.97273,                0.70988,                 1.0298,                 1.6968,                 1.1327,             0.00055152,             0.00055152,             0.00055152
                      2,                0.92236,                0.99341,                 1.0865,                0.97703,                 0.9871,                 0.9917,                0.79144,                0.81698,                0.93141,                 1.0022,             0.00074182,             0.00074182,             0.00074182
                      3,                0.83154,                0.74888,                 1.0347,                0.97806,                0.98684,                0.99081,                0.80434,                0.76677,                0.70939,                0.95948,             0.00056537,             0.00056537,             0.00056537
